* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:19:21
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca bass
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
211.670 3.461 -2.847
212.036 3.462 -2.788
212.402 3.463 -2.730
212.769 3.464 -2.675
213.135 3.465 -2.620
213.501 3.466 -2.565
213.867 3.467 -2.509
214.233 3.467 -2.451
214.600 3.468 -2.393
214.966 3.469 -2.337
215.332 3.470 -2.282
215.698 3.471 -2.228
216.064 3.472 -2.174
216.431 3.472 -2.117
216.797 3.473 -2.058
217.163 3.474 -1.999
217.529 3.475 -1.942
217.896 3.476 -1.888
218.262 3.477 -1.837
218.628 3.478 -1.789
218.994 3.479 -1.742
219.360 3.480 -1.693
219.727 3.481 -1.644
220.093 3.482 -1.596
220.459 3.483 -1.550
220.825 3.484 -1.507
221.191 3.485 -1.468
221.558 3.486 -1.431
221.924 3.487 -1.397
222.290 3.487 -1.364
222.656 3.488 -1.332
223.022 3.488 -1.301
223.389 3.488 -1.271
223.755 3.488 -1.242
224.121 3.487 -1.212
224.487 3.487 -1.179
224.854 3.486 -1.145
225.220 3.485 -1.108
225.586 3.484 -1.070
225.952 3.483 -1.033
226.318 3.482 -0.994
226.685 3.481 -0.953
227.051 3.479 -0.907
227.417 3.478 -0.855
227.783 3.476 -0.801
228.149 3.475 -0.745
228.516 3.474 -0.691
228.882 3.473 -0.637
229.248 3.472 -0.581
229.614 3.470 -0.521
229.980 3.469 -0.457
230.347 3.468 -0.389
230.713 3.467 -0.321
231.079 3.466 -0.254
231.445 3.465 -0.189
231.812 3.464 -0.125
232.178 3.464 -0.060
232.544 3.463 0.007
232.910 3.462 0.076
233.276 3.461 0.147
233.643 3.461 0.216
234.009 3.461 0.285
234.375 3.460 0.353
234.741 3.460 0.420
235.107 3.459 0.487
235.474 3.459 0.554
235.840 3.458 0.623
236.206 3.458 0.693
236.572 3.458 0.765
236.938 3.457 0.838
237.305 3.457 0.911
237.671 3.457 0.983
238.037 3.457 1.053
238.403 3.457 1.122
238.770 3.457 1.192
239.136 3.457 1.262
239.502 3.457 1.335
239.868 3.456 1.411
240.234 3.456 1.487
240.601 3.456 1.564
240.967 3.457 1.639
241.333 3.457 1.712
241.699 3.457 1.785
242.065 3.457 1.858
242.432 3.457 1.934
242.798 3.457 2.012
243.164 3.457 2.091
243.530 3.458 2.171
243.896 3.459 2.248
244.263 3.459 2.324
244.629 3.460 2.398
244.995 3.460 2.472
245.361 3.461 2.548
245.728 3.462 2.624
246.094 3.463 2.701
246.460 3.464 2.777
246.826 3.464 2.851
247.192 3.465 2.923
247.559 3.466 2.997
247.925 3.467 3.074
