* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:22:02
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca tweeter
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
249.023 5.303 15.762
249.390 5.305 15.779
249.756 5.306 15.796
250.122 5.307 15.814
250.488 5.309 15.833
250.854 5.310 15.853
251.221 5.311 15.875
251.587 5.312 15.897
251.953 5.314 15.918
252.319 5.315 15.938
252.686 5.317 15.956
253.052 5.318 15.974
253.418 5.319 15.993
253.784 5.321 16.013
254.150 5.322 16.033
254.517 5.323 16.055
254.883 5.325 16.075
255.249 5.326 16.094
255.615 5.328 16.112
255.981 5.329 16.130
256.348 5.331 16.148
256.714 5.332 16.166
257.080 5.333 16.185
257.446 5.335 16.204
257.812 5.336 16.223
258.179 5.337 16.242
258.545 5.339 16.261
258.911 5.340 16.281
259.277 5.341 16.301
259.644 5.343 16.320
260.010 5.344 16.339
260.376 5.346 16.358
260.742 5.347 16.376
261.108 5.348 16.395
261.475 5.350 16.415
261.841 5.351 16.434
262.207 5.353 16.453
262.573 5.354 16.472
262.939 5.356 16.490
263.306 5.357 16.508
263.672 5.358 16.527
264.038 5.360 16.547
264.404 5.361 16.566
264.771 5.363 16.585
265.137 5.364 16.604
265.503 5.366 16.622
265.869 5.367 16.641
266.235 5.368 16.660
266.602 5.370 16.678
266.968 5.371 16.697
267.334 5.373 16.716
267.700 5.374 16.735
268.066 5.375 16.754
268.433 5.377 16.774
268.799 5.378 16.793
269.165 5.380 16.812
269.531 5.381 16.832
269.897 5.383 16.851
270.264 5.384 16.870
270.630 5.386 16.889
270.996 5.387 16.906
271.362 5.389 16.924
271.729 5.390 16.941
272.095 5.391 16.958
272.461 5.393 16.978
272.827 5.394 16.997
273.193 5.395 17.017
273.560 5.397 17.036
273.926 5.399 17.054
274.292 5.400 17.072
274.658 5.401 17.090
275.024 5.403 17.108
275.391 5.404 17.127
275.757 5.406 17.146
276.123 5.407 17.165
276.489 5.409 17.182
276.855 5.410 17.200
277.222 5.412 17.218
277.588 5.413 17.237
277.954 5.415 17.257
278.320 5.416 17.276
278.687 5.418 17.295
279.053 5.419 17.313
279.419 5.421 17.331
279.785 5.422 17.348
280.151 5.424 17.367
280.518 5.425 17.386
280.884 5.426 17.405
281.250 5.428 17.424
281.616 5.429 17.443
281.982 5.431 17.462
282.349 5.432 17.481
282.715 5.434 17.500
283.081 5.436 17.519
283.447 5.437 17.537
283.813 5.439 17.555
284.180 5.440 17.573
284.546 5.442 17.591
284.912 5.443 17.610
285.278 5.445 17.629
285.645 5.446 17.648
286.011 5.448 17.667
286.377 5.449 17.685
286.743 5.451 17.702
287.109 5.453 17.719
287.476 5.454 17.736
287.842 5.455 17.754
288.208 5.457 17.773
288.574 5.458 17.793
288.940 5.460 17.814
289.307 5.461 17.833
289.673 5.463 17.851
290.039 5.465 17.868
290.405 5.466 17.885
290.771 5.467 17.903
291.138 5.469 17.921
291.504 5.470 17.941
291.870 5.472 17.960
292.236 5.474 17.979
292.603 5.475 17.996
292.969 5.477 18.014
293.335 5.478 18.031
293.701 5.480 18.049
294.067 5.482 18.067
294.434 5.483 18.086
294.800 5.485 18.104
295.166 5.486 18.122
295.532 5.488 18.140
295.898 5.490 18.157
296.265 5.491 18.175
296.631 5.493 18.194
296.997 5.494 18.213
