* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS  Using a loopback as a timing reference
* Dated: 25.2.2020 14:46:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,698±0,005 ms (582 mm, 1,91 ft) Mikrofon na sredini, samo bass
* Measurement: nov zv
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
311.279 82.137 31.123
311.646 82.160 30.765
312.012 82.182 30.404
312.378 82.204 30.042
312.744 82.225 29.678
313.110 82.245 29.315
313.477 82.264 28.955
313.843 82.283 28.600
314.209 82.302 28.247
314.575 82.322 27.893
314.941 82.342 27.534
315.308 82.361 27.171
315.674 82.379 26.807
316.040 82.396 26.444
316.406 82.412 26.087
316.772 82.429 25.735
317.139 82.447 25.384
317.505 82.465 25.032
317.871 82.483 24.676
318.237 82.502 24.316
318.604 82.520 23.953
318.970 82.539 23.587
319.336 82.557 23.218
319.702 82.576 22.845
320.068 82.594 22.469
320.435 82.612 22.089
320.801 82.631 21.707
321.167 82.650 21.319
321.533 82.670 20.923
321.899 82.689 20.515
322.266 82.707 20.096
322.632 82.723 19.670
322.998 82.738 19.244
323.364 82.751 18.820
323.730 82.763 18.402
324.097 82.776 17.986
324.463 82.789 17.567
324.829 82.801 17.143
325.195 82.812 16.714
325.562 82.822 16.282
325.928 82.830 15.854
326.294 82.837 15.433
326.660 82.843 15.019
327.026 82.850 14.610
327.393 82.857 14.200
327.759 82.864 13.787
328.125 82.870 13.369
328.491 82.875 12.951
328.857 82.879 12.533
329.224 82.883 12.120
329.590 82.886 11.709
329.956 82.888 11.299
330.322 82.890 10.887
330.688 82.892 10.474
331.055 82.892 10.064
331.421 82.890 9.660
331.787 82.889 9.264
332.153 82.887 8.876
332.520 82.886 8.494
332.886 82.886 8.112
333.252 82.885 7.730
333.618 82.884 7.348
333.984 82.883 6.968
334.351 82.882 6.593
334.717 82.881 6.224
335.083 82.881 5.859
