* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS  Using a loopback as a timing reference
* Dated: 25.2.2020 14:46:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,698±0,005 ms (582 mm, 1,91 ft) Mikrofon na sredini, samo bass
* Measurement: nov zv
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
171.387 77.351 -126.828
171.753 77.375 -126.884
172.119 77.399 -126.951
172.485 77.420 -127.026
172.852 77.439 -127.103
173.218 77.455 -127.174
173.584 77.470 -127.234
173.950 77.485 -127.280
174.316 77.500 -127.314
174.683 77.516 -127.344
175.049 77.534 -127.378
175.415 77.552 -127.420
175.781 77.569 -127.467
176.147 77.586 -127.515
176.514 77.602 -127.559
176.880 77.618 -127.601
177.246 77.636 -127.647
177.612 77.653 -127.701
177.979 77.670 -127.766
178.345 77.685 -127.836
178.711 77.699 -127.907
179.077 77.712 -127.976
179.443 77.724 -128.045
179.810 77.735 -128.116
180.176 77.745 -128.188
180.542 77.754 -128.259
180.908 77.760 -128.321
181.274 77.765 -128.370
181.641 77.770 -128.405
182.007 77.776 -128.428
182.373 77.783 -128.444
182.739 77.791 -128.455
183.105 77.800 -128.466
183.472 77.811 -128.480
183.838 77.821 -128.497
184.204 77.831 -128.518
184.570 77.840 -128.538
184.937 77.849 -128.552
185.303 77.858 -128.558
185.669 77.869 -128.560
186.035 77.880 -128.561
186.401 77.893 -128.570
186.768 77.906 -128.588
187.134 77.918 -128.614
187.500 77.928 -128.645
187.866 77.936 -128.672
188.232 77.943 -128.691
188.599 77.948 -128.698
188.965 77.954 -128.693
189.331 77.960 -128.677
189.697 77.968 -128.655
190.063 77.975 -128.631
190.430 77.983 -128.605
190.796 77.990 -128.570
191.162 77.997 -128.521
191.528 78.005 -128.456
191.895 78.016 -128.380
192.261 78.030 -128.299
192.627 78.046 -128.221
192.993 78.063 -128.146
193.359 78.082 -128.068
193.726 78.104 -127.984
194.092 78.129 -127.897
194.458 78.159 -127.822
194.824 78.194 -127.775
195.190 78.230 -127.763
195.557 78.265 -127.785
195.923 78.299 -127.831
196.289 78.330 -127.889
196.655 78.360 -127.956
197.021 78.390 -128.038
197.388 78.418 -128.138
197.754 78.443 -128.255
198.120 78.463 -128.375
198.486 78.480 -128.484
198.853 78.495 -128.575
199.219 78.510 -128.651
199.585 78.527 -128.727
199.951 78.544 -128.816
200.317 78.559 -128.922
200.684 78.571 -129.033
201.050 78.578 -129.135
201.416 78.583 -129.214
201.782 78.588 -129.270
202.148 78.595 -129.313
202.515 78.602 -129.355
202.881 78.610 -129.401
203.247 78.616 -129.447
203.613 78.621 -129.482
203.979 78.625 -129.499
204.346 78.630 -129.499
204.712 78.637 -129.486
205.078 78.646 -129.471
205.444 78.657 -129.458
205.811 78.669 -129.447
206.177 78.681 -129.437
206.543 78.693 -129.424
206.909 78.707 -129.407
207.275 78.721 -129.389
207.642 78.737 -129.372
208.008 78.754 -129.356
208.374 78.771 -129.346
208.740 78.789 -129.340
209.106 78.806 -129.338
209.473 78.824 -129.337
209.839 78.841 -129.336
210.205 78.859 -129.333
210.571 78.877 -129.330
210.938 78.896 -129.331
211.304 78.914 -129.336
211.670 78.931 -129.344
212.036 78.947 -129.348
212.402 78.962 -129.339
212.769 78.978 -129.313
213.135 78.995 -129.275
213.501 79.015 -129.231
213.867 79.036 -129.185
214.233 79.059 -129.139
214.600 79.084 -129.089
214.966 79.111 -129.033
215.332 79.141 -128.975
215.698 79.175 -128.926
216.064 79.211 -128.891
216.431 79.250 -128.873
216.797 79.289 -128.862
217.163 79.330 -128.851
217.529 79.375 -128.841
217.896 79.426 -128.848
218.262 79.484 -128.892
218.628 79.545 -128.990
218.994 79.609 -129.148
219.360 79.674 -129.372
219.727 79.740 -129.674
220.093 79.803 -130.079
220.459 79.858 -130.611
220.825 79.895 -131.272
221.191 79.902 -132.017
221.558 79.873 -132.755
221.924 79.807 -133.371
222.290 79.717 -133.764
222.656 79.621 -133.889
223.022 79.538 -133.775
223.389 79.479 -133.508
223.755 79.446 -133.190
224.121 79.434 -132.896
224.487 79.434 -132.650
224.854 79.440 -132.443
225.220 79.448 -132.256
225.586 79.461 -132.078
225.952 79.479 -131.914
226.318 79.501 -131.774
226.685 79.526 -131.662
227.051 79.551 -131.574
227.417 79.577 -131.502
227.783 79.602 -131.439
228.149 79.628 -131.382
228.516 79.655 -131.333
228.882 79.682 -131.294
229.248 79.710 -131.265
229.614 79.738 -131.242
229.980 79.765 -131.223
230.347 79.793 -131.204
230.713 79.822 -131.186
231.079 79.852 -131.175
231.445 79.883 -131.174
231.812 79.914 -131.184
232.178 79.945 -131.203
232.544 79.975 -131.227
232.910 80.005 -131.250
233.276 80.035 -131.271
233.643 80.066 -131.292
234.009 80.098 -131.317
234.375 80.132 -131.351
234.741 80.166 -131.398
235.107 80.199 -131.455
235.474 80.232 -131.521
235.840 80.264 -131.590
236.206 80.296 -131.660
236.572 80.328 -131.731
236.938 80.360 -131.804
237.305 80.392 -131.883
237.671 80.425 -131.970
238.037 80.456 -132.063
238.403 80.487 -132.159
238.770 80.517 -132.253
239.136 80.547 -132.341
239.502 80.578 -132.426
239.868 80.612 -132.517
240.234 80.646 -132.621
240.601 80.680 -132.742
240.967 80.713 -132.877
241.333 80.744 -133.018
241.699 80.774 -133.156
242.065 80.803 -133.288
242.432 80.834 -133.419
242.798 80.865 -133.555
243.164 80.896 -133.700
243.530 80.927 -133.852
243.896 80.957 -134.007
244.263 80.987 -134.162
244.629 81.017 -134.317
244.995 81.048 -134.480
245.361 81.080 -134.655
245.728 81.110 -134.843
246.094 81.139 -135.038
246.460 81.166 -135.232
246.826 81.191 -135.420
247.192 81.218 -135.603
247.559 81.245 -135.788
247.925 81.273 -135.981
248.291 81.301 -136.188
248.657 81.328 -136.406
249.023 81.352 -136.630
249.390 81.376 -136.854
249.756 81.399 -137.076
250.122 81.421 -137.297
250.488 81.445 -137.522
250.854 81.468 -137.756
251.221 81.491 -138.004
251.587 81.513 -138.266
251.953 81.534 -138.538
252.319 81.552 -138.815
252.686 81.568 -139.094
253.052 81.583 -139.373
253.418 81.598 -139.657
253.784 81.612 -139.950
254.150 81.624 -140.256
254.517 81.633 -140.571
254.883 81.638 -140.890
255.249 81.640 -141.205
255.615 81.639 -141.513
255.981 81.635 -141.811
256.348 81.628 -142.100
256.714 81.619 -142.378
257.080 81.607 -142.642
257.446 81.592 -142.889
257.812 81.575 -143.117
258.179 81.556 -143.323
258.545 81.534 -143.503
258.911 81.510 -143.649
259.277 81.486 -143.757
259.644 81.462 -143.823
260.010 81.442 -143.850
260.376 81.424 -143.844
260.742 81.412 -143.814
261.108 81.403 -143.762
261.475 81.399 -143.689
261.841 81.401 -143.597
